blockNum,runNum,trial,pdType,commTime,brTime,totTrialNum,wasRisky,blockN,runN,trialN,displayCond,rewCond,leftVal,leftProb,leftEV,rightVal,rightProb,rightEV,evDiff,resp,rt,totPoints,ITI,delayDur,startAngle,angleCount,numSteps,outcome,spinDelay,spinFlip,safeCol,riskyVal,riskyProb,riskyEV,conf,Subject
54,1,24,1,150.84505,319901976,24,0,54,1,24,1,5,10,100,10,15,50,7.5,2.5,2,0.7029007,265,0.54031893,0.74974986,5.286511683,9.086511683,38,1,0.0326089,1,2,15,50,7.5,0,EMUYEZ
54,1,25,1,153.931125,319949613,25,0,54,1,25,1,5,10,100,10,25,30,7.5,2.5,2,2.8415602,275,0.914055568,0.9486764,0.386528603,5.186528603,50,1,0.0284016,1,2,25,30,7.5,20,EMUYEZ
54,1,26,1,159.702876,320045336,26,1,54,1,26,1,5,12,20,2.4,10,100,10,-7.6,2,1.2049974,287,0.954370706,0.661177902,2.251185043,5.651185043,33,1,0.0372954,1,1,12,20,2.4,30,EMUYEZ
54,1,27,1,163.605189,320131162,27,1,54,1,27,1,5,25,60,15,10,100,10,5,2,1.7266897,287,0.962877097,0.71551424,6.744291591,10.34429159,36,0,0.0325458,1,1,25,60,15,10,EMUYEZ
54,1,28,1,168.096352,320183310,28,1,54,1,28,1,5,20,50,10,10,100,10,0,2,1.2281927,287,0.835033845,0.651228406,7.170679698,10.5706797,33,0,0.0333022,1,1,20,50,10,0,EMUYEZ
54,1,29,1,171.897085,320297077,29,1,54,1,29,1,5,30,60,18,10,100,10,8,2,1.7877975,287,0.710150462,1.183270241,3.121241492,9.121241492,65,0,0.0273272,1,1,30,60,18,10,EMUYEZ
54,1,30,1,176.652521,320387976,30,1,54,1,30,1,5,15,30,4.5,10,100,10,-5.5,2,2.6477185,287,0.842466159,0.572510889,5.158328703,8.158328703,28,0,0.0375982,1,1,15,30,4.5,20,EMUYEZ
54,1,31,1,181.811837,320453137,31,1,54,1,31,1,5,10,100,10,12,70,8.4,1.6,1,1.7039686,299,0.946741706,0.8297177,2.298668262,6.498668262,43,1,0.0304285,1,2,12,70,8.4,20,EMUYEZ
54,1,32,1,186.363404,320578409,32,1,54,1,32,1,5,10,100,10,20,90,18,-8,1,2.2733742,319,0.514142964,0.565523937,7.254244225,10.25424423,27,1,0.030584,1,2,20,90,18,40,EMUYEZ
54,1,33,1,190.78406,320672335,33,1,54,1,33,1,5,10,100,10,30,40,12,-2,1,2.2763862,349,0.873649688,1.010655813,1.180027203,6.380027203,54,1,0.0300166,1,2,30,40,12,10,EMUYEZ
54,1,34,1,196.022908,320736119,34,1,54,1,34,1,5,25,50,12.5,10,100,10,2.5,2,1.6049417,374,0.673882046,0.851229003,0.718541683,5.118541683,44,1,0.0299388,1,1,25,50,12.5,0,EMUYEZ
54,1,35,1,200.227233,320901864,35,1,54,1,35,1,5,25,80,20,10,100,10,10,2,1.432634,374,0.807179101,0.918158726,5.913489906,10.51348991,49,0,0.0371384,1,1,25,80,20,30,EMUYEZ
54,1,36,1,204.465762,321007899,36,0,54,1,36,1,5,10,100,10,12,50,6,4,2,3.9305744,384,0.587816736,0.601480973,6.589774718,9.789774718,30,1,0.0390795,1,2,12,50,6,0,EMUYEZ
54,1,37,1,210.671533,321057992,37,1,54,1,37,1,5,25,40,10,10,100,10,0,2,1.7168141,384,0.904838575,0.507320719,7.448487783,10.04848778,24,0,0.0300739,1,1,25,40,10,10,EMUYEZ
54,1,38,1,214.876499,321100806,38,1,54,1,38,1,5,15,70,10.5,10,100,10,0.5,2,2.24733,399,0.704972487,1.049966245,1.160423663,6.560423663,57,1,0.0296131,1,1,15,70,10.5,20,EMUYEZ
54,1,39,1,219.964565,321171987,39,1,54,1,39,1,5,10,100,10,30,90,27,-17,1,1.3357288,429,0.968765603,0.530682772,3.389067109,6.189067109,26,1,0.0331243,1,2,30,90,27,40,EMUYEZ
54,1,40,1,223.885678,321316620,40,1,54,1,40,1,5,30,20,6,10,100,10,-4,,,429,0.528202206,0.860643362,,,,,,,1,30,20,6,30,EMUYEZ
54,1,41,1,229.858337,321345136,41,0,54,1,41,1,5,10,100,10,20,60,12,-2,2,0.8817797,439,0.867298547,0.685390089,5.336161967,8.936161967,35,1,0.0317257,1,2,20,60,12,10,EMUYEZ
54,1,42,1,233.37909,321432340,42,0,54,1,42,1,5,10,100,10,15,20,3,7,2,1.4976329,449,0.77270442,0.541380838,4.547434781,7.347434781,26,1,0.0346993,1,2,15,20,3,30,EMUYEZ
54,1,43,1,237.266497,321514017,43,0,54,1,43,1,5,10,100,10,15,40,6,4,2,1.7056666,459,0.626627068,0.641010696,5.236702332,8.636702332,32,1,0.0328632,1,2,15,40,6,10,EMUYEZ
54,1,44,1,241.320734,321566927,44,1,54,1,44,1,5,30,40,12,10,100,10,2,2,1.1160231,459,0.626576419,1.15871288,2.328044716,8.128044716,63,0,0.0340622,1,1,30,40,12,10,EMUYEZ
54,1,45,1,245.291493,321654660,45,1,54,1,45,1,5,10,100,10,15,60,9,1,1,1.4252537,474,0.615820208,1.131318752,-0.424188762,5.375811238,61,1,0.0327557,1,2,15,60,9,10,EMUYEZ
54,1,46,1,249.546849,321764597,46,0,54,1,46,1,5,12,60,7.2,10,100,10,-2.8,1,1.0178472,484,0.669256553,1.186497345,3.701732447,9.701732447,65,1,0.0330485,1,1,12,60,7.2,10,EMUYEZ
54,1,47,1,253.499632,321831499,47,1,54,1,47,1,5,10,100,10,20,80,16,-6,1,1.7128263,504,0.541329843,0.891936906,1.376772603,5.976772603,47,1,0.0331366,1,2,20,80,16,30,EMUYEZ
54,1,48,1,257.724186,321951402,48,1,54,1,48,1,5,20,50,10,10,100,10,0,2,1.2799164,524,0.587692772,0.911426384,2.6613205,7.2613205,49,1,0.031592,1,1,20,50,10,0,EMUYEZ
54,1,49,1,261.591775,322059564,49,1,54,1,49,1,5,10,100,10,30,80,24,-14,1,1.4840209,554,0.530502293,0.680472938,4.152417676,7.752417676,35,1,0.032775,1,2,30,80,24,30,EMUYEZ
54,1,50,1,265.382,322115835,50,1,54,1,50,1,5,10,100,10,20,50,10,0,1,2.0385969,574,0.976844376,0.922209514,2.919130243,7.719130243,48,1,0.0331251,1,2,20,50,10,0,EMUYEZ
55,2,1,1,42.623098,326689155,1,0,55,2,1,1,5,10,100,10,12,60,7.2,2.8,2,1.6374624,10,0.608340315,0.740984507,4.889216868,8.689216868,38,1,0.0332934,1,2,12,60,7.2,10,EMUYEZ
55,2,2,1,46.695339,327910528,2,0,55,2,2,1,5,10,100,10,30,20,6,4,2,1.7012626,20,0.853559352,0.972175759,5.204532287,10.20453229,51,1,0.0326184,1,2,30,20,6,30,EMUYEZ
55,2,3,1,51.299368,328041100,3,0,55,2,3,1,5,25,50,12.5,10,100,10,2.5,1,2.3768792,30,0.837249396,1.040977317,3.457569059,8.857569059,56,1,0.0334252,1,1,25,50,12.5,0,EMUYEZ
55,2,4,1,56.638146,328141785,4,1,55,2,4,1,5,20,50,10,10,100,10,0,2,1.6296392,30,0.842941306,0.64508574,5.219933249,8.619933249,33,0,0.0332035,1,1,20,50,10,0,EMUYEZ
55,2,5,1,60.842403,328202243,5,1,55,2,5,1,5,20,80,16,10,100,10,6,2,1.4337163,50,0.831934103,1.047155921,1.719680227,7.119680227,57,1,0.0303543,1,1,20,80,16,30,EMUYEZ
55,2,6,1,65.22997,328300481,6,1,55,2,6,1,5,10,100,10,15,80,12,-2,1,2.2544481,65,0.849062516,0.964119862,4.130790703,9.130790703,51,1,0.0385424,1,2,15,80,12,30,EMUYEZ
55,2,7,1,70.386148,328389002,7,0,55,2,7,1,5,10,100,10,15,20,3,7,2,1.8016811,75,0.997129741,1.187598339,3.523094118,9.523094118,65,1,0.0328854,1,2,15,20,3,30,EMUYEZ
55,2,8,1,75.440491,328488608,8,1,55,2,8,1,5,10,100,10,30,50,15,-5,1,1.8117096,75,0.925773069,0.773896071,4.772861768,8.772861768,40,0,0.0335052,1,2,30,50,15,0,EMUYEZ
55,2,9,1,80.0283,328558496,9,1,55,2,9,1,5,10,100,10,30,70,21,-11,1,1.4643947,105,0.977719308,0.706286166,2.727527964,6.327527964,36,1,0.0329312,1,2,30,70,21,20,EMUYEZ
55,2,10,1,84.248852,328646752,10,1,55,2,10,1,5,15,70,10.5,10,100,10,0.5,2,2.8526612,120,0.630622076,0.967769053,1.159583137,6.159583137,52,1,0.0434149,1,1,15,70,10.5,20,EMUYEZ
55,2,11,1,89.788207,328774457,11,1,55,2,11,1,5,10,100,10,30,40,12,-2,1,1.4716138,120,0.775010141,0.929496269,3.985556568,8.785556568,46,0,0.0384759,1,2,30,40,12,10,EMUYEZ
55,2,12,1,94.060789,328855822,12,1,55,2,12,1,5,10,100,10,25,90,22.5,-12.5,1,1.3916238,145,0.914004488,1.044838752,0.382893576,5.782893576,55,1,0.042125,1,2,25,90,22.5,40,EMUYEZ
55,2,13,1,98.515279,328953069,13,0,55,2,13,1,5,25,50,12.5,10,100,10,2.5,1,2.5284635,155,0.63253375,0.522980513,6.505930307,9.305930307,24,1,0.0318741,1,1,25,50,12.5,0,EMUYEZ
55,2,14,1,103.284854,329061658,14,1,55,2,14,1,5,20,50,10,10,100,10,0,2,1.9588925,155,0.529055212,0.509610967,6.097271684,8.697271684,24,0,0.0330285,1,1,20,50,10,0,EMUYEZ
55,2,15,1,107.374739,329134650,15,1,55,2,15,1,5,12,50,6,10,100,10,-4,2,2.7011817,167,0.985064468,0.677705201,2.342735983,5.742735983,33,1,0.0282526,1,1,12,50,6,0,EMUYEZ
55,2,16,1,112.813875,329187235,16,1,55,2,16,1,5,10,100,10,20,90,18,-8,1,1.317792,167,0.609923818,0.826386785,6.400744485,10.60074449,42,0,0.0445618,1,2,20,90,18,40,EMUYEZ
55,2,17,1,116.648175,329333472,17,1,55,2,17,1,5,20,70,14,10,100,10,4,2,1.6604377,187,0.99786278,1.126566762,0.513634934,6.313634934,61,1,0.0333725,1,1,20,70,14,20,EMUYEZ
55,2,18,1,121.519936,329427653,18,1,55,2,18,1,5,25,60,15,10,100,10,5,2,1.5802526,212,0.651192378,1.182904854,0.035111418,6.035111418,64,1,0.0332748,1,1,25,60,15,10,EMUYEZ
55,2,19,1,126.00798,329487205,19,0,55,2,19,1,5,15,30,4.5,10,100,10,-5.5,1,2.1957919,222,0.678579954,0.534293038,4.942331146,7.742331146,25,1,0.0373383,1,1,15,30,4.5,20,EMUYEZ
55,2,20,1,130.5158,329586204,20,0,55,2,20,1,5,10,100,10,15,60,9,1,2,1.1042591,232,0.542467663,0.592431566,4.333818968,7.333818968,29,1,0.0324029,1,2,15,60,9,10,EMUYEZ
55,2,21,1,133.833907,329645315,21,1,55,2,21,1,5,30,30,9,10,100,10,-1,2,4.1942134,232,0.842140886,1.06983818,1.985961713,7.385961713,57,0,0.0397015,1,1,30,30,9,20,EMUYEZ
55,2,22,1,141.008587,329768072,22,1,55,2,22,1,5,20,60,12,10,100,10,2,2,1.0351515,252,0.980282369,1.068067623,1.689872909,7.089872909,57,1,0.0329831,1,1,20,60,12,10,EMUYEZ
55,2,23,1,145.181784,329847495,23,1,55,2,23,1,5,15,40,6,10,100,10,-4,2,2.0058832,252,0.812974556,0.89958121,3.241391531,7.841391531,48,0,0.0326804,1,1,15,40,6,10,EMUYEZ
55,2,24,1,149.984205,329911099,24,0,55,2,24,1,5,25,30,7.5,10,100,10,-2.5,1,0.8037614,262,0.565641873,0.828635554,2.093565947,6.293565947,43,1,0.0353721,1,1,25,30,7.5,20,EMUYEZ
55,2,25,1,153.269979,330043202,25,1,55,2,25,1,5,10,100,10,12,70,8.4,1.6,1,1.7175428,274,0.562274045,0.995352337,1.106324805,6.106324805,54,1,0.0382902,1,2,12,70,8.4,20,EMUYEZ
55,2,26,1,157.625495,330114136,26,1,55,2,26,1,5,25,80,20,10,100,10,10,2,1.8501233,299,0.611439844,1.164317958,0.828336921,6.828336921,64,1,0.0366537,1,1,25,80,20,30,EMUYEZ
55,2,27,1,162.349645,330189281,27,1,55,2,27,1,5,12,90,10.8,10,100,10,0.8,2,3.3906878,311,0.917568958,0.926143983,2.850547471,7.650547471,49,1,0.028084,1,1,12,90,10.8,40,EMUYEZ
55,2,28,1,168.669476,330274086,28,1,55,2,28,1,5,10,100,10,25,60,15,-5,1,2.022812,336,0.740013681,0.699730527,2.411464028,6.011464028,35,1,0.0323528,1,2,25,60,15,10,EMUYEZ
55,2,29,1,173.207716,330382846,29,0,55,2,29,1,5,10,100,10,12,20,2.4,7.6,2,2.2359642,346,0.692741232,1.067053789,2.486523519,7.886523519,58,1,0.0365136,1,2,12,20,2.4,30,EMUYEZ
55,2,30,1,178.279981,330449686,30,1,55,2,30,1,5,10,100,10,25,20,5,5,1,2.5076304,346,0.526442242,0.873449974,4.967352785,9.367352785,46,0,0.0289962,1,2,25,20,5,30,EMUYEZ
55,2,31,1,183.268434,330553380,31,0,55,2,31,1,5,12,40,4.8,10,100,10,-5.2,1,2.6392237,356,0.626550222,0.70012116,4.923048104,8.523048104,35,1,0.034147,1,1,12,40,4.8,10,EMUYEZ
55,2,32,1,188.307088,330638455,32,1,55,2,32,1,5,10,100,10,25,70,17.5,-7.5,1,1.5765683,381,0.967241188,0.641091313,3.677435729,7.077435729,32,1,0.0328556,1,2,25,70,17.5,20,EMUYEZ
55,2,33,1,192.577728,330687925,33,1,55,2,33,1,5,10,100,10,25,40,10,0,1,2.2668341,381,0.888154055,0.705657898,6.180745644,9.780745644,36,0,0.036222,1,2,25,40,10,10,EMUYEZ
55,2,34,1,197.516465,330863709,34,0,55,2,34,1,5,10,100,10,15,50,7.5,2.5,2,1.9759742,391,0.655155682,0.824923638,1.604386805,5.804386805,43,1,0.0335854,1,2,15,50,7.5,0,EMUYEZ
55,2,35,1,202.05454,330951152,35,1,55,2,35,1,5,25,50,12.5,10,100,10,2.5,2,2.9409735,391,0.986367847,0.808918287,6.510148923,10.71014892,42,0,0.0339021,1,1,25,50,12.5,0,EMUYEZ
55,2,36,1,207.881429,331014720,36,1,55,2,36,1,5,10,100,10,15,60,9,1,1,1.6426118,391,0.75451659,0.775474309,6.583355389,10.58335539,40,0,0.0309408,1,2,15,60,9,10,EMUYEZ
55,2,37,1,212.131922,331133771,37,0,55,2,37,1,5,10,100,10,20,50,10,0,2,0.6719966,401,0.538086109,1.058884992,0.624161638,6.024161638,57,1,0.0311754,1,2,20,50,10,0,EMUYEZ
55,2,38,1,215.489951,331213466,38,0,55,2,38,1,5,10,100,10,12,30,3.6,6.4,2,1.4905534,411,0.690101119,0.787001841,2.788980213,6.788980213,41,1,0.0326062,1,2,12,30,3.6,20,EMUYEZ
55,2,39,1,219.539891,331270074,39,0,55,2,39,1,5,20,20,4,10,100,10,-6,1,1.7361559,421,0.884229822,1.129714155,5.055150736,10.85515074,62,1,0.0326949,1,1,20,20,4,30,EMUYEZ
55,2,40,1,224.38124,331370675,40,0,55,2,40,1,5,20,50,10,10,100,10,0,1,1.2390477,431,0.739811369,0.756931411,6.69877238,10.49877238,39,1,0.0338422,1,1,20,50,10,0,EMUYEZ
55,2,41,1,228.201768,331474105,41,0,55,2,41,1,5,10,100,10,20,30,6,4,2,2.5782739,441,0.78453753,0.60516598,5.080028549,8.280028549,30,1,0.0329826,1,2,20,30,6,20,EMUYEZ
55,2,42,1,233.25695,331540766,42,0,55,2,42,1,5,30,40,12,10,100,10,2,1,2.3553504,451,0.864010906,1.107518817,1.158099041,6.758099041,60,1,0.0324343,1,1,30,40,12,10,EMUYEZ
55,2,43,1,238.679835,331690865,43,1,55,2,43,1,5,10,100,10,15,90,13.5,-3.5,1,2.2204854,466,0.623709956,0.82632212,3.987887636,8.187887636,43,1,0.0332474,1,2,15,90,13.5,40,EMUYEZ
55,2,44,1,243.434602,331810609,44,1,55,2,44,1,5,10,100,10,30,50,15,-5,1,1.1457858,496,0.667656657,0.971320817,1.550108291,6.550108291,52,1,0.0311991,1,2,30,50,15,0,EMUYEZ
55,2,45,1,247.306425,331862947,45,0,55,2,45,1,5,20,40,8,10,100,10,-2,1,2.2100665,506,0.574576582,1.046497238,4.724446783,10.12444678,56,1,0.0277988,1,1,20,40,8,10,EMUYEZ
55,2,46,1,252.210703,331986284,46,1,55,2,46,1,5,30,60,18,10,100,10,8,2,1.9768302,536,0.959160338,0.652270901,3.022148287,6.422148287,30,1,0.0340293,1,1,30,60,18,10,EMUYEZ
55,2,47,1,256.881939,332113465,47,1,55,2,47,1,5,12,80,9.6,10,100,10,-0.4,2,1.9135984,548,0.934022996,0.567792219,6.361043476,9.361043476,28,1,0.0417268,1,1,12,80,9.6,30,EMUYEZ
55,2,48,1,261.403413,332171278,48,1,55,2,48,1,5,10,100,10,30,90,27,-17,1,1.3447137,578,0.672103286,0.895911902,1.37286403,5.97286403,46,1,0.0337827,1,2,30,90,27,40,EMUYEZ
55,2,49,1,265.391331,332289086,49,1,55,2,49,1,5,10,100,10,30,80,24,-14,1,1.1251226,608,0.944243735,1.127983119,1.872140924,7.672140924,60,1,0.0339144,1,2,30,80,24,30,EMUYEZ
55,2,50,1,269.678704,332386374,50,1,55,2,50,1,5,25,40,10,10,100,10,0,2,3.0451078,608,0.919641201,0.811112357,4.686843652,8.886843652,42,0,0.0326135,1,1,25,40,10,10,EMUYEZ
56,3,1,1,40.04773,335604370,1,0,56,3,1,1,5,25,40,10,10,100,10,0,1,1.8801952,10,0.808915951,1.174007716,2.459196532,8.459196532,64,1,0.0329273,1,1,25,40,10,10,EMUYEZ
56,3,2,1,44.985871,336749382,2,0,56,3,2,1,5,10,100,10,20,50,10,0,2,1.9662911,20,0.843613696,0.786952159,1.828560083,5.828560083,41,1,0.0328074,1,2,20,50,10,0,EMUYEZ
56,3,3,1,49.656657,336899912,3,1,56,3,3,1,5,20,50,10,10,100,10,0,2,1.4468728,20,0.700023872,1.152972495,2.674023504,8.474023504,63,0,0.0343705,1,1,20,50,10,0,EMUYEZ
56,3,4,1,54.043722,337014459,4,0,56,3,4,1,5,10,100,10,12,50,6,4,2,1.5642803,30,0.970332269,0.897555751,6.13657185,10.73657185,48,1,0.0319062,1,2,12,50,6,0,EMUYEZ
56,3,5,1,58.565671,337069500,5,0,56,3,5,1,5,10,100,10,20,30,6,4,2,1.0818502,40,0.548966437,0.98912919,5.70056384,10.70056384,53,1,0.0325632,1,2,20,30,6,20,EMUYEZ
56,3,6,1,62.269633,337174663,6,0,56,3,6,1,5,10,100,10,15,50,7.5,2.5,2,2.3141893,50,0.755374277,0.858037574,2.978621516,7.378621516,45,1,0.0321988,1,2,15,50,7.5,0,EMUYEZ
56,3,7,1,67.2756,337274102,7,1,56,3,7,1,5,12,70,8.4,10,100,10,-1.6,2,1.8521961,50,0.853249436,0.692769612,6.658900809,10.25890081,36,0,0.0315661,1,1,12,70,8.4,20,EMUYEZ
56,3,8,1,71.762534,337332725,8,1,56,3,8,1,5,10,100,10,15,80,12,-2,1,1.8935837,65,0.520293013,0.639359479,5.646563433,8.846563433,32,1,0.0326217,1,2,15,80,12,30,EMUYEZ
56,3,9,1,75.900483,337425919,9,0,56,3,9,1,5,15,30,4.5,10,100,10,-5.5,1,2.0516677,75,0.629352006,0.78637181,3.501492577,7.501492577,41,1,0.0329152,1,1,15,30,4.5,20,EMUYEZ
56,3,10,1,80.437827,337473971,10,1,56,3,10,1,5,10,100,10,25,50,12.5,-2.5,1,2.2896208,75,0.766281644,0.825729217,4.579992864,8.779992864,43,0,0.0492861,1,2,25,50,12.5,0,EMUYEZ
56,3,11,1,85.408453,337600039,11,0,56,3,11,1,5,12,20,2.4,10,100,10,-7.6,1,2.022996,85,0.586234084,0.545414492,6.83480316,9.63480316,26,1,0.031612,1,1,12,20,2.4,30,EMUYEZ
56,3,12,1,89.648239,337679719,12,0,56,3,12,1,5,20,50,10,10,100,10,0,1,0.9195981,95,0.581285816,0.657427097,1.863800898,5.263800898,32,1,0.0285685,1,1,20,50,10,0,EMUYEZ
56,3,13,1,92.885215,337732037,13,0,56,3,13,1,5,12,90,10.8,10,100,10,0.8,1,0.9791648,105,0.744828033,0.946872198,1.95579857,6.75579857,51,1,0.0380506,1,1,12,90,10.8,40,EMUYEZ
56,3,14,1,96.655719,337835792,14,1,56,3,14,1,5,20,90,18,10,100,10,8,2,1.4720801,125,0.649363995,0.54363708,6.925159633,9.725159633,26,1,0.0340935,1,1,20,90,18,40,EMUYEZ
56,3,15,1,100.410476,337882878,15,0,56,3,15,1,5,30,20,6,10,100,10,-4,1,1.0778069,135,0.773128059,1.165997377,4.378534991,10.37853499,63,1,0.0322976,1,1,30,20,6,30,EMUYEZ
