trial,run,stimCat,stimN,oldNew,resp,rt,accEncoded,postChoiceDur,isiDur,conf,confRT,confPresses,rt2,acc,wasRDD,nRDD,rddVal,rddRew,rddAcc,totExp,acc2,Subject
59,1,2,44,0,1,1596,1,0.721788706,0.541782185,3,0.0272233,0,1.5939254,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
60,1,2,39,0,1,1061,1,0.730169919,0.725983394,3,0.644497,0,1.0555019,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
61,1,2,32,3,1,1303,1,0.621022074,0.564504711,2,3.3700193,1,1.2991421,0,1,0,20,10,1,1,0,PAV062
62,1,3,27,3,2,1485,0,0.633518389,0.394302038,3,0.2503802,0,1.4742704,1,1,0,20,10,1,1,1,PAV062
63,1,2,2,1,1,1030,0,0.71916058,0.428699527,4,3.0137147,3,1.0237095,0,1,0,30,10,1,2,0,PAV062
64,1,1,27,3,1,886,1,0.342721525,0.455604272,3,0.0509001,0,0.8842632,0,1,0,25,10,1,1,0,PAV062
65,1,1,10,1,2,1094,1,0.3006485,0.26515293,5,2.228722,2,1.0916276,1,1,0,30,10,1,3,1,PAV062
66,1,3,41,0,2,953,0,0.46504227,0.29642631,3,0.0675627,0,0.9506946,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV062
67,1,2,45,0,2,3865,0,0.486821945,0.35477,3,1.3333164,0,3.8633685,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV062
68,1,2,29,3,1,799,1,0.271247267,0.44492134,3,0.0935307,0,0.797074,0,1,0,30,10,1,1,0,PAV062
69,1,2,31,3,2,1258,0,0.346724091,0.563924006,4,1.752774,1,1.2555173,1,1,0,25,10,1,1,1,PAV062
70,1,1,14,1,1,990,0,0.291530327,0.264468285,4,3.5457313,3,0.9880673,0,1,0,25,10,1,4,0,PAV062
71,1,2,40,0,1,820,1,0.293786346,0.364744267,3,0.0098503,0,0.8084618,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
72,1,1,53,0,1,1897,1,0.662254872,0.737467328,3,0.1384709,0,1.8926388,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
73,1,3,42,0,1,927,1,0.540838703,0.340552025,3,0.7041119,0,0.924655,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
74,1,2,13,1,1,1108,0,0.314499701,0.539398016,4,1.2908282,1,1.1058661,0,1,1,20,20,1,4,0,PAV062
75,1,1,28,3,2,1190,0,0.734999033,0.66677873,4,1.0399811,1,1.1868295,1,1,0,25,10,1,1,1,PAV062
1,2,3,36,3,1,1308,1,0.472031488,0.404301018,3,1.3884799,0,1.3049478,0,1,0,30,10,1,1,0,PAV062
2,2,1,17,1,2,1190,1,0.559797096,0.627605741,3,0.565633,0,1.1877171,1,1,6,10,10,1,15,1,PAV062
3,2,1,1,1,1,958,0,0.732685459,0.343898213,3,0.3205845,0,0.9563661,0,1,1,20,20,1,2,0,PAV062
4,2,1,8,1,2,1279,1,0.283493443,0.661508628,3,0.1231973,0,1.2768708,1,1,1,20,20,1,3,1,PAV062
5,2,3,16,1,2,1135,1,0.312362875,0.674527218,4,1.1672919,1,1.1295091,1,1,7,10,10,1,15,1,PAV062
6,2,3,6,1,2,1036,1,0.567921917,0.503253033,4,0.9042264,1,1.0275394,1,1,0,20,10,1,3,1,PAV062
7,2,3,35,3,2,840,0,0.72835481,0.343425899,4,0.8687174,1,0.8384142,1,1,0,20,10,1,1,1,PAV062
8,2,2,3,1,2,1061,1,0.430234374,0.548422327,3,0.0257931,0,1.0518207,1,1,1,25,25,1,2,1,PAV062
9,2,3,53,0,2,889,0,0.64975689,0.314412552,3,0.9198917,0,0.8870289,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV062
10,2,3,5,1,2,1063,1,0.334445502,0.58939857,3,0.090928,0,1.0605929,1,1,1,20,20,1,2,1,PAV062
11,2,1,40,0,1,1043,1,0.257057804,0.334726746,2,0.8434596,1,1.0415151,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
12,2,1,52,0,1,1031,1,0.642800066,0.453000524,2,0.7149258,1,1.0291474,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
13,2,2,34,3,1,940,1,0.568657602,0.52660367,2,0.8015007,1,0.9363873,0,1,1,20,0,0,1,0,PAV062
14,2,3,10,1,2,725,1,0.528179566,0.434516926,3,0.0363945,0,0.7219802,1,1,1,30,30,1,3,1,PAV062
15,2,2,24,3,1,2223,1,0.495185166,0.276425719,4,4.0562235,3,2.2213023,0,1,0,20,10,1,1,0,PAV062
16,2,2,52,0,1,2200,1,0.29416892,0.302874763,4,3.0391544,3,2.1968555,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
17,2,3,7,1,2,680,1,0.623799522,0.288196134,3,0.1257153,0,0.6742833,1,1,1,30,30,1,3,1,PAV062
18,2,1,38,3,1,860,1,0.418751359,0.378076144,4,2.1745769,1,0.8577899,0,1,0,20,10,1,1,0,PAV062
19,2,3,9,1,2,734,1,0.6274383,0.533737206,4,1.4707969,1,0.731721,1,1,0,25,10,1,3,1,PAV062
20,2,1,42,0,1,833,1,0.514233828,0.492868063,4,2.1497129,1,0.8270524,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
21,2,1,12,1,2,1007,1,0.26408886,0.53606177,4,1.0996411,1,1.0047741,1,1,0,25,10,1,4,1,PAV062
22,2,3,46,0,1,1407,1,0.49278577,0.453553676,3,0.5840926,0,1.3990022,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
23,2,2,35,3,1,904,1,0.571636475,0.400570269,4,1.9142952,1,0.8984621,0,1,0,25,10,1,1,0,PAV062
24,2,3,3,1,1,974,0,0.417094294,0.601983289,4,1.3929722,1,0.9684215,0,1,0,30,10,1,2,0,PAV062
25,2,3,50,0,1,905,1,0.386798538,0.381705005,4,1.6705826,1,0.9037755,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
26,2,2,33,3,1,707,1,0.599649805,0.451273638,3,0.5216507,0,0.7040978,0,1,0,25,10,1,1,0,PAV062
27,2,2,10,1,2,1224,1,0.744444511,0.497963354,4,1.7504192,1,1.2206671,1,1,1,25,25,1,3,1,PAV062
28,2,3,39,0,1,970,1,0.664872575,0.301218297,5,1.9516238,2,0.9669718,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
29,2,3,34,3,1,938,1,0.74029964,0.570968466,5,1.2941175,2,0.9367005,0,1,0,25,10,1,1,0,PAV062
30,2,3,26,3,2,1147,0,0.732151101,0.688948244,4,1.3507658,1,1.1429407,1,1,0,20,10,1,1,1,PAV062
31,2,1,25,3,1,1392,1,0.510133589,0.562855146,4,1.0358474,1,1.3890632,0,1,0,25,10,1,1,0,PAV062
32,2,3,25,3,1,1123,1,0.251024399,0.453208444,4,1.2109786,1,1.1203525,0,1,0,30,10,1,1,0,PAV062
33,2,1,13,1,2,1433,1,0.508163181,0.371132484,5,1.0971203,2,1.430652,1,1,1,30,30,1,4,1,PAV062
34,2,3,38,3,1,2255,1,0.364877976,0.614895359,3,0.137029,0,2.2507005,0,1,0,20,10,1,1,0,PAV062
35,2,1,43,0,1,894,1,0.477904443,0.548778939,4,0.9257404,1,0.8911671,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
36,2,1,11,1,1,1406,0,0.749606819,0.408893976,3,0.1120704,0,1.399393,0,1,1,30,30,1,4,0,PAV062
37,2,1,35,3,2,1038,0,0.742365905,0.316192903,4,1.0937159,1,1.0352573,1,1,0,25,10,1,1,1,PAV062
38,2,2,9,1,1,1862,0,0.555498871,0.458975158,2,2.5073202,3,1.8600419,0,1,1,20,20,1,3,0,PAV062
39,2,2,11,1,1,912,0,0.655930374,0.37803599,4,1.1150357,1,0.9096538,0,1,0,30,10,1,4,0,PAV062
40,2,2,15,1,1,936,0,0.262373679,0.642142023,3,1.0973268,0,0.9335965,0,1,0,25,10,1,4,0,PAV062
41,2,3,55,0,1,972,1,0.293727783,0.441003824,5,1.4278671,2,0.9687517,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
42,2,2,47,0,1,735,1,0.346153497,0.542140906,3,0.0646023,0,0.7331182,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
43,2,2,26,3,1,846,1,0.564493303,0.500464269,5,1.2092133,2,0.8419924,0,1,0,25,10,1,1,0,PAV062
44,2,2,50,0,1,1626,1,0.5110464,0.41766736,5,1.4420633,2,1.6235846,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
45,2,3,44,0,1,900,1,0.537503201,0.572052635,5,1.2545399,2,0.8945703,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
46,2,1,3,1,2,1370,1,0.571782842,0.642367205,2,1.6045463,1,1.367332,1,1,1,30,30,1,2,1,PAV062
47,2,1,41,0,1,964,1,0.389593575,0.702406989,3,0.0251471,0,0.9591738,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
48,2,2,37,3,1,1192,1,0.383243591,0.378983428,3,0.1191883,0,1.190762,0,1,0,20,10,1,1,0,PAV062
49,2,3,47,0,1,905,1,0.292309725,0.74236677,5,1.2817117,2,0.8995831,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
50,2,3,48,0,1,907,1,0.470041534,0.719515218,5,1.2130097,2,0.9047631,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
51,2,1,7,1,2,1380,1,0.506764398,0.604550797,3,2.6529736,4,1.3737135,1,1,1,30,30,1,3,1,PAV062
52,2,3,37,3,1,1048,1,0.535292282,0.32136342,3,1.0773403,0,1.0459061,0,1,0,30,10,1,1,0,PAV062
53,2,1,16,1,2,1497,1,0.606197735,0.610397725,3,1.2551678,0,1.4951244,1,1,8,10,10,1,15,1,PAV062
54,2,2,51,0,1,691,1,0.584600648,0.367129603,4,2.6068682,3,0.6829606,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
55,2,1,29,3,1,993,1,0.312039067,0.529289138,5,1.4486363,2,0.990388,0,1,0,30,10,1,1,0,PAV062
56,2,1,24,3,1,1072,1,0.435041773,0.720989009,5,1.2394811,2,1.0702356,0,1,0,20,10,1,1,0,PAV062
57,2,2,42,0,1,864,1,0.457655069,0.378517159,5,1.3672815,2,0.8619627,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
58,2,2,46,0,1,771,1,0.316937083,0.369269774,5,1.1207267,2,0.7665407,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
59,2,3,56,0,1,1276,1,0.579922716,0.450899828,5,1.6012404,2,1.2743196,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
60,2,1,46,0,1,862,1,0.509882553,0.504844997,5,2.0473896,2,0.8600444,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
61,2,2,5,1,1,760,0,0.455229521,0.490271347,5,1.5383027,2,0.7580827,0,1,0,20,10,1,2,0,PAV062
62,2,3,11,1,1,867,0,0.341624466,0.587998479,5,1.5054153,2,0.861993,0,1,0,30,10,1,4,0,PAV062
63,2,3,1,1,2,1815,1,0.492501223,0.688433664,4,2.8579081,1,1.8127404,1,1,0,30,10,1,2,1,PAV062
64,2,2,25,3,1,822,1,0.572924086,0.73333952,4,1.850253,3,0.8138529,0,1,0,30,10,1,1,0,PAV062
65,2,2,6,1,1,771,0,0.526492449,0.699655869,5,2.1242585,3,0.7689504,0,1,0,20,10,1,3,0,PAV062
66,2,1,26,3,1,881,1,0.410245301,0.435530709,5,1.4154389,2,0.8785646,0,1,0,30,10,1,1,0,PAV062
67,2,1,54,0,1,894,1,0.476402084,0.504732389,5,1.3688057,2,0.8920877,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
68,2,1,32,3,1,1178,1,0.555274443,0.513575737,5,1.483783,2,1.1756104,0,1,0,30,10,1,1,0,PAV062
69,2,2,4,1,1,737,0,0.311713035,0.559475219,5,1.1540127,2,0.7336896,0,1,0,25,10,1,2,0,PAV062
70,2,2,27,3,1,933,1,0.505761101,0.266114082,5,1.4658378,2,0.931236,0,1,0,30,10,1,1,0,PAV062
71,2,2,1,1,1,592,0,0.364308986,0.597148808,5,1.4505865,2,0.5902573,0,1,0,30,10,1,2,0,PAV062
72,2,1,48,0,1,691,1,0.536229717,0.658757553,5,1.3125163,2,0.6898756,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
73,2,1,37,3,1,1022,1,0.666555482,0.502368286,5,1.2799805,2,1.0151516,0,1,0,30,10,1,1,0,PAV062
74,2,2,54,0,1,624,1,0.498843538,0.685595491,5,1.2540039,2,0.6219502,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
75,2,1,50,0,1,812,1,0.434291222,0.64924712,5,1.2368841,2,0.8101772,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
76,2,3,24,3,1,996,1,0.641656885,0.480273351,5,0.9937816,2,0.9942156,0,1,0,20,10,1,1,0,PAV062
77,2,2,41,0,1,660,1,0.692406145,0.362641169,5,1.4368097,2,0.6586485,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
78,2,2,53,0,1,684,1,0.728851261,0.715089773,5,1.4961083,2,0.6831909,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV062
1,1,3,51,0,2,2804,0,0.619141355,0.435858045,5,4.1057643,2,2.799722,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV064
2,1,1,25,3,1,1539,1,0.320810751,0.620256997,1,2.4088487,2,1.5369137,0,1,0,25,10,1,1,0,PAV064
3,1,2,51,0,2,1989,0,0.415248439,0.607097455,5,2.6296649,2,1.9860375,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV064
4,1,1,12,1,1,2618,0,0.746018374,0.615151595,2,1.5742051,1,2.6124946,0,1,0,20,10,1,4,0,PAV064
5,1,3,2,1,2,1150,1,0.303496579,0.360368233,3,0.217128,0,1.1453418,1,1,0,20,10,1,2,1,PAV064
6,1,1,46,0,1,1507,1,0.534125309,0.327285801,1,3.3765818,2,1.5047681,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
7,1,3,17,1,2,1939,1,0.389802299,0.51251172,5,3.7587309,2,1.9372871,1,1,8,10,10,1,15,1,PAV064
8,1,1,28,3,1,1250,1,0.67441196,0.555403322,3,0.0842814,0,1.2468565,0,1,0,25,10,1,1,0,PAV064
9,1,2,47,0,1,2211,1,0.286409765,0.303477765,1,2.7542404,2,2.2067955,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
10,1,3,14,1,2,1636,1,0.463006203,0.35449948,5,2.0578516,2,1.6339577,1,1,0,25,10,1,4,1,PAV064
11,1,1,49,0,1,1521,1,0.656043917,0.725856504,3,0.0992355,0,1.5174064,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
12,1,3,34,3,2,2407,0,0.504356514,0.7317654,5,2.1633529,2,2.4052182,1,1,0,30,10,1,1,1,PAV064
13,1,2,7,1,2,2036,1,0.69120247,0.492980444,3,0.0525516,0,2.032861,1,1,1,30,30,1,3,1,PAV064
14,1,1,42,0,1,933,1,0.53810635,0.454045663,1,2.5883614,2,0.9309983,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
15,1,2,33,3,2,1797,0,0.394123238,0.539731711,4,2.230367,1,1.7914765,1,1,0,25,10,1,1,1,PAV064
16,1,1,36,3,1,2146,1,0.682019893,0.502742928,3,0.1812384,0,2.1449503,0,1,0,30,10,1,1,0,PAV064
17,1,3,49,0,1,1235,1,0.401571391,0.435691929,1,2.0694664,2,1.2330704,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
